#{"t_start": 1787109726.2530766, "env_id": "None"}
r,l,t
-985.0227,85,15.810781
-980.8748,95,17.552922
-977.1387,104,19.045517
-974.88586,109,19.911939
-979.0571,111,20.281179
-971.8663,117,21.26514
-968.6037,125,22.600333
-987.77454,78,28.981254
-962.34186,167,29.66779
-989.98975,72,31.214836
-987.36896,80,34.827714
-971.4429,120,37.807708
-977.56726,105,40.370785
-990.24634,72,41.195576
-966.6789,138,43.584448
-991.81995,68,48.944676
-976.9856,108,49.144224
-984.5446,91,49.790607
-974.27045,148,54.085954
-980.7042,207,54.241154
-981.3026,97,56.787183
-970.3525,127,63.642958
-973.1484,170,67.360256
-972.7605,133,75.116722
102.69149,188,78.576816
99.40969,188,79.407904
-986.2124,82,80.375089
-976.4196,107,80.549237
-975.6038,205,81.548391
106.50029,182,85.61632
-966.5575,208,87.067326
-978.4382,101,91.654677
-990.7945,70,93.09689
-978.016,104,95.70477
-981.3324,94,95.873578
-991.88336,68,96.823199
-979.6509,99,103.056587
-986.1209,84,104.915849
-991.1432,167,107.577394
-989.2315,74,108.566077
99.55923,187,109.718995
-978.822,109,113.096668
-981.7823,96,120.650201
-980.6788,178,121.776207
-963.9361,138,125.639257
104.82652,184,125.639257
-973.7399,114,126.339215
-983.0239,91,128.210996
-993.2793,64,131.350287
-987.6124,160,134.994756
-988.9659,167,137.325645
-992.931,66,139.167158
-976.86774,104,139.167158
-979.2332,100,148.01775
-979.9781,98,155.308887
-970.05396,124,159.514605
-963.6309,207,160.493036
-981.0493,214,161.004188
-963.7317,220,161.991143
101.81721,183,167.464561
-987.32965,198,167.678425
-970.5949,123,168.191988
-989.3562,74,173.620677
-985.0342,88,174.466013
-982.93494,90,175.821023
-985.8523,137,178.276716
-971.756,120,182.180388
-990.9544,70,185.967505
-972.40564,120,187.613556
-989.4685,74,187.944244
-978.988,117,192.722118
-980.1119,158,194.361915
-976.8266,112,196.424349
105.91954,185,198.206033
-981.1996,94,208.011735
-990.3119,72,210.046724
-982.2634,104,211.355785
106.533646,187,212.679822
-993.49164,118,215.75419
-956.58124,194,217.700112
-960.26166,213,223.203703
-955.8765,218,223.714638
-989.9367,74,224.072198
-994.4822,119,228.309435
-977.33777,107,236.540284
-967.1189,133,239.065132
-977.4841,179,240.842071
-978.65027,105,241.357723
-988.5545,76,241.567826
-967.53894,207,248.25863
-984.011,88,251.266184
-977.5399,207,259.163221
-970.33624,212,259.695611
-970.3142,136,270.848948
-971.4845,187,272.655361
-968.23267,209,274.02519
-963.6234,208,275.677895
-968.0254,207,276.17926
-975.89374,114,278.313377
-979.5116,147,284.197502
-987.2837,79,285.721693
-978.5311,209,286.048874
-992.5724,66,286.544358
-986.9877,80,287.220917
-977.2238,141,301.711467
-981.9453,92,302.557717
-972.86566,114,304.670415
-976.0734,208,305.488953
-964.57776,179,305.883735
-974.4926,118,306.209075
-975.73706,145,310.180065
-992.56195,66,312.670134
-993.76434,63,315.153596
-981.4058,94,318.414076
-974.57184,209,319.235738
-979.61865,101,323.060384
-977.64124,103,323.763431
-979.3286,99,329.577914
-996.6737,111,332.244358
102.94987,186,335.065836
-973.4402,113,335.594067
-967.5613,128,342.575342
-970.51624,213,344.212541
104.85844,191,349.337229
-972.2612,126,353.17292
-966.7057,133,357.775455
-971.53485,218,358.271875
-974.47675,120,362.673897
-986.7239,81,363.040512
-969.2761,218,364.206278
-982.42596,91,368.46624
-976.5579,208,369.827298
-979.72784,209,379.213308
-977.2133,149,383.222051
-969.44696,150,389.180344
-993.92065,63,389.728922
-989.7399,180,392.768996
-960.27246,215,393.733754
-987.3935,79,396.34231
-971.2193,213,398.516578
-992.11554,68,401.009875
-981.45105,203,402.3636
-962.08923,208,404.562999
-980.70917,98,405.547873
-980.62494,96,409.744177
-979.1705,109,416.794182
-1001.34454,175,422.215455
-994.10443,128,424.044061
-974.6817,117,425.446236
-975.4942,192,428.721729
-971.45905,118,429.723738
-984.8602,85,431.220908
-981.9974,162,431.967234
-955.3818,186,432.438696
-992.5423,74,441.096587
-977.60974,148,448.752724
-976.40625,106,450.088973
-966.5921,171,450.759073
-988.915,155,451.277134
-981.1616,97,457.178834
-967.7871,161,458.72688
-981.0316,176,459.070039
-974.9982,167,459.070039
-988.1591,78,463.078779
-981.3734,101,467.731083
-989.10266,76,471.897747
-968.60315,124,472.095232
-986.2618,150,473.95897
-978.64026,102,474.497482
-992.03674,135,481.880009
-984.89264,145,487.540567
102.18493,187,490.173693
-974.2314,115,491.21001
-994.39777,136,496.60566
-980.4499,159,500.855884
-971.7729,201,501.195916
-960.4882,208,506.667673
-975.5988,170,510.136052
-986.17505,89,515.884866
-985.8607,174,520.205832
-981.57495,202,521.265216
-962.44586,207,524.810685
-966.9134,168,529.422342
-971.4883,213,532.261861
-987.90326,80,533.664465
-984.248,87,539.404116
-972.417,140,539.405143
98.8948,183,540.959942
-988.3389,78,542.905771
-993.7824,64,543.520275
-970.53723,234,546.592319
-976.8217,168,549.908219
-977.5623,104,557.134349
-994.53827,117,560.82401
-988.4782,163,561.369809
-985.6837,93,565.357083
-986.97876,161,566.723197
-966.92236,131,568.447702
98.90638,182,573.409873
-989.2673,78,573.925535
98.75551,196,576.299779
-991.0237,70,577.143049
-973.3826,116,580.806014
-978.133,103,584.095341
-993.16425,67,584.810713
-993.23517,200,590.800804
-996.3554,118,596.191657
-989.31934,76,596.897474
-969.15076,125,598.286412
-971.0769,192,600.784753
-975.9165,167,602.118688
-967.89636,133,603.347841
-993.43506,73,610.147155
-984.0751,153,612.142547
-989.6975,75,612.497925
-995.1878,132,614.695274
-987.4759,189,630.395463
-981.756,154,630.912982
-983.3999,157,636.652112
-982.7892,209,637.68304
-977.5548,204,638.24193
101.47827,183,643.148325
-988.4712,205,647.244949
-980.3714,99,647.244949
-988.5834,76,649.684129
-968.87317,215,651.224982
-971.23895,121,651.604858
-976.115,161,664.635532
-982.9032,96,665.256793
99.89679,184,668.371442
-977.2324,168,670.453891
-974.66693,150,674.875436
-991.3373,70,675.239617
-975.12665,159,676.801372
102.46119,186,677.141598
-980.9358,200,679.408148
-981.26587,94,680.082849
-991.00446,70,686.665985
-973.9775,116,689.072186
-967.01587,128,695.580298
-963.8445,138,698.859568
-982.7011,147,700.51858
-986.7698,89,700.681179
-954.86316,212,702.075783
-994.75854,152,703.51367
101.3747,184,707.968323
-990.6283,72,709.868037
-973.1693,116,711.215987
-978.2865,101,713.183035
-969.9014,185,714.447528
-979.5195,98,715.068868
-978.2354,139,718.998178
-987.7432,78,720.616077
-963.0885,197,723.630362
-976.9342,181,729.406903
-956.49786,186,732.111592
-976.1644,152,733.430793
-979.9084,184,735.315414
-971.6387,183,736.327128
-995.2238,115,737.018457
-971.0354,173,739.509841
-978.2088,107,741.960372
-970.6623,217,746.065432
-980.9825,159,750.245453
-973.9149,153,750.816907
-997.99176,176,755.376147
-978.9916,166,755.916149
-978.9416,172,755.916149
-984.8349,90,760.388754
-969.2302,189,760.840288
-981.4051,182,762.312499
94.95078,188,766.9773
-988.4942,163,768.973947
-981.9651,128,770.027489
-986.32513,84,771.667151
-1004.9686,180,775.884012
-983.2294,194,776.935362
-967.0075,157,778.294922
-985.56934,91,782.015987
-975.8916,208,783.699148
-979.67395,100,787.261232
98.17097,184,787.725861
100.409325,183,789.74702
-986.98645,174,789.87637
-985.0704,89,792.301718
-979.0593,133,793.724444
-982.4089,92,794.452501
-993.9207,64,794.930095
-975.2523,177,797.461789
-985.1097,92,800.548502
-985.429,87,802.416635
-975.2672,156,808.098299
-980.09827,127,809.131926
96.556076,183,809.131926
-996.4676,130,812.37815
103.9515,185,815.05337
-967.22815,196,817.695416
-974.9083,162,819.541633
-993.6182,64,820.151642
-985.4562,173,822.794782
-990.6491,154,827.3349
-977.8213,158,827.800364
-965.9171,167,827.800364
-964.9883,138,831.676798
-969.8337,158,838.68571
-985.62103,183,839.275718
-985.92554,83,841.196352
-983.6812,199,842.722931
-977.4236,182,843.913958
-971.4344,167,846.579515
-964.86725,166,846.910236
-988.9533,88,849.124462
-954.44714,225,853.416294
-988.0068,85,856.121706
-979.83905,110,856.25565
-998.5264,122,856.485223
-991.5401,161,856.847629
-984.5215,168,860.11229
-997.6139,137,864.473098
100.55609,185,867.543434
-972.6201,156,870.949616
-989.84564,134,871.689251
-982.8762,147,872.469794
-992.96277,160,873.961811
-1009.6576,167,874.908308
-986.0321,146,876.143125
-975.9067,144,880.297973
-985.6152,150,883.98918
-979.2363,147,888.659764
-1006.9443,168,889.470874
-992.76373,171,890.615194
-982.5113,143,890.835119
-989.7819,159,891.717815
-1004.74664,150,892.992573
-981.56836,123,894.226598
-982.7647,128,898.586966
-1012.0481,155,906.274472
-980.8748,157,907.323575
-972.6572,160,909.020069
-982.0088,154,909.139493
-989.77997,165,909.411102
-974.1658,147,909.658705
-983.5229,101,910.123282
-981.5869,146,910.792663
-993.0367,144,923.114505
-985.1646,135,924.751729
-987.24133,145,925.958672
-1010.9115,165,926.404706
-1005.3852,168,928.801834
-984.4274,161,929.349768
-995.0797,173,929.573256
-987.82794,179,930.713589
-1004.30524,89,933.177186
-1006.59686,119,991.53186
-992.8904,66,992.138427
-979.51843,111,993.570925
-981.6195,149,993.570925
-975.0188,135,994.499952
-986.321,165,995.974623
-959.88025,206,996.288581
-1007.44763,182,997.466803
-993.91364,65,997.832681
-986.1838,145,1016.445458
-1015.5968,172,1031.677183
-989.90295,86,1034.390417
-979.24634,133,1035.066996
-986.3116,121,1038.505652
-994.58093,188,1045.766065
-992.9712,67,1052.181748
-981.3592,172,1052.181748
-994.17615,171,1056.81767
-1004.7124,96,1057.650917
-991.5313,127,1058.875705
-983.17883,126,1064.161737
-1004.0116,147,1064.278181
-992.2645,71,1064.27918
-985.2962,120,1070.313497
-975.40375,173,1073.345352
-985.6498,133,1074.181422
-983.2251,124,1074.498776
-980.39825,125,1078.390931
-1002.7578,174,1079.011638
-1003.07684,155,1081.377775
-1018.4402,166,1082.39852
-987.58594,81,1082.593535
-999.95087,157,1086.140909
-985.7149,132,1086.317805
-989.3011,134,1087.242687
-998.4297,137,1091.139007
-996.89276,96,1091.40619
-982.7956,153,1093.08021
-1002.361,121,1093.431057
-981.87524,121,1097.130832
-993.0036,174,1097.130832
-994.236,140,1098.657989
-1010.76294,146,1100.272532
-1009.88007,168,1106.200435
-978.26575,151,1107.043607
-995.5633,161,1107.618135
-996.3504,100,1107.796709
-988.405,183,1107.911607
-996.26117,147,1110.59194
-975.78876,167,1112.462492
-979.886,144,1113.468179
-979.46454,105,1118.674638
-997.3342,121,1123.66649
-1001.45166,161,1127.978271
-988.4459,150,1128.665955
-981.8651,109,1130.715385
-973.8084,164,1131.678518
-990.46643,162,1137.066426
-983.39874,129,1143.404983
-1011.6036,167,1144.035547
-983.5501,89,1145.381204
-983.64636,130,1147.97208
-990.75903,130,1152.306415
-978.7813,146,1157.814618
-984.7064,110,1163.591957
-992.57245,177,1164.390722
-983.45154,90,1164.566127
-985.47144,169,1168.238673
-999.17596,100,1171.321184
-1018.2303,161,1174.937062
-993.9334,65,1178.382933
102.57077,182,1180.817347
-996.25946,164,1188.322034
-1008.3027,139,1189.855761
-974.60876,155,1191.297266
-1009.0051,123,1192.169298
-990.33044,162,1195.703941
-975.27313,152,1199.495196
-986.3511,171,1199.73503
-1003.131,94,1200.922433
-985.8158,112,1201.409565
-978.6043,101,1202.319297
-982.5248,182,1203.095228
-1004.3947,136,1207.389527
