#{"t_start": 1787213349.9146369, "env_id": "None"}
r,l,t
-984.65247,86,0.853029
-980.9278,97,0.964686
-974.6077,110,1.083578
-972.0019,117,1.153087
-974.3028,133,1.299568
-982.592,154,1.492782
-987.65497,78,1.586432
-988.7844,80,1.882611
-986.04926,201,1.922637
-970.28906,216,2.075594
-972.3771,120,2.089303
-990.6127,72,2.182196
-990.2684,72,2.320221
-976.8788,105,2.347454
-990.0043,72,2.74992
-991.7825,68,2.885674
-982.8506,176,2.897205
-988.16016,126,3.337849
-974.6174,111,3.407525
-981.22394,94,3.457175
-979.95,97,4.246761
-980.4784,189,5.748746
-974.19556,111,5.881934
-976.91943,214,6.008152
-965.0879,134,6.410502
-978.9429,200,6.866853
100.15294,203,6.935455
-965.42126,134,7.220198
-976.2125,106,8.082089
-956.63525,221,8.192651
-979.48206,98,8.342701
-985.37054,85,9.087846
-979.5656,101,9.123011
-992.0319,68,9.696906
-989.79205,76,9.761086
-968.7069,157,10.179412
91.7584,208,10.179412
-967.1873,217,10.220808
-987.68384,84,11.058145
-980.13257,97,11.370013
-965.3012,140,11.61979
-990.0196,72,11.928431
-975.5306,114,12.525653
-972.79535,124,12.678718
-981.25397,94,13.273218
-977.31274,104,13.751338
-971.0306,159,14.128732
-982.56573,91,14.231294
-980.202,174,14.497264
-990.602,78,14.559699
-993.68225,63,14.763342
-972.7169,151,15.136601
-972.7054,116,15.179249
-993.3002,66,15.56803
-980.6039,99,15.89296
-973.7909,112,16.699743
-992.00714,68,16.80698
-980.2977,141,16.853668
-982.95026,91,16.872733
-988.23346,80,17.349465
-970.83844,120,17.368965
-967.8243,145,17.482564
98.54082,185,17.949177
-989.61786,74,18.195467
-983.03674,93,19.024069
-973.3161,151,19.553559
-970.7341,122,19.639655
-978.12366,108,19.874112
102.258156,190,20.208601
-985.5712,198,20.24286
-984.1961,138,20.685043
-983.95996,95,20.727306
-988.44434,76,21.054054
-989.4779,75,21.283357
-960.79645,226,21.462894
-990.9355,70,21.531219
-990.37274,72,21.629619
-976.91815,104,22.705555
-983.9928,88,22.765378
-973.45386,113,22.9227
-979.20355,100,23.217742
-977.0562,210,23.527925
-990.40204,74,24.180769
-976.81866,180,25.0892
-967.1944,128,25.174414
-970.79614,206,25.511946
-992.692,66,25.511946
-967.5437,134,25.575477
-969.4975,213,25.812207
-965.532,139,26.328723
-987.34467,79,27.632767
97.58814,188,27.830312
-990.13306,77,28.05784
-971.97614,118,28.463933
-975.8521,109,28.488282
-968.5347,150,28.858368
-976.4448,188,29.924609
-988.8341,76,29.993925
-976.24194,108,30.331769
-992.69727,66,30.557796
-984.1324,88,30.817928
-956.64813,223,31.214932
-981.9243,154,32.666262
-982.0344,96,33.134135
-971.4946,196,33.135141
-985.7172,83,33.819988
-970.3511,135,33.902833
-963.5856,142,34.696906
-993.4553,64,35.714537
-992.4638,66,35.714537
-962.4585,216,36.257413
88.58507,200,36.677819
-971.2632,128,36.851779
-976.4261,148,37.434352
-977.8235,103,37.666074
-959.29425,199,38.727016
-967.4694,127,41.666886
-987.4464,123,41.84334
101.324844,190,42.351734
-995.68555,213,42.43592
-971.1697,224,42.733773
98.73951,189,42.867228
-960.8491,212,43.284549
-986.34375,82,43.867146
104.27483,186,122.13132
-981.70123,93,122.155589
-979.001,102,122.728778
-978.1159,108,123.334416
-978.07666,151,123.926098
-987.153,80,123.980504
-987.1667,187,125.037832
-980.51874,96,125.572946
-983.37054,91,126.060974
-966.5951,212,126.151612
-979.1669,178,126.237971
-970.50824,211,126.646032
-973.24146,175,126.792664
-973.7446,118,128.421885
-982.42975,91,128.467829
-984.9513,85,128.772695
-973.7144,113,128.903487
-962.6885,207,128.922754
-977.61633,106,129.439174
99.90086,187,129.561597
-993.7529,63,130.433458
95.51428,185,130.58176
-992.0823,73,130.80307
-984.8494,85,130.976903
-974.1334,111,131.364962
-979.6632,99,132.259954
-991.79083,68,132.425404
-990.83606,76,132.777251
-979.65186,98,133.620005
-978.2078,102,133.917305
-983.2712,220,134.52395
-978.5169,102,135.534525
-967.9308,212,135.78601
-980.90094,102,136.353073
-978.65936,162,136.714666
-977.94727,103,137.599441
-988.51276,76,137.653815
104.590935,185,139.085456
-991.7468,68,139.303766
-982.2868,92,139.765076
-988.18555,165,140.034168
-969.8988,138,140.820492
-973.366,113,141.356091
-973.27576,114,141.356091
-986.72253,194,142.195543
-975.99365,108,142.278143
-978.0628,105,142.940147
-985.8912,87,143.528518
-977.4594,106,143.955505
-987.8127,78,144.14547
-988.6289,168,144.245645
101.56457,184,144.270481
-981.39825,185,145.479546
-987.60535,79,145.921849
-955.44684,167,146.248707
-981.18884,94,146.443324
-978.40607,135,146.80281
-989.002,175,147.159031
-965.88586,133,147.468038
-981.492,99,147.854872
-982.44,91,148.082682
-976.7977,176,148.478015
-993.4641,64,148.973069
-988.51373,83,149.109875
-977.01373,105,149.284159
-984.36237,139,149.529623
-975.6277,134,149.612489
-974.84814,113,150.748446
-988.0945,78,150.966207
-979.21375,100,151.630373
-968.5224,199,152.491886
-989.58936,186,152.83432
98.3565,183,153.196297
-963.9431,178,153.617615
-977.6669,176,153.64329
-968.83234,133,153.9674
-989.6914,76,154.569436
-977.70215,183,154.961477
-989.58905,74,155.463348
-980.8001,107,155.795976
-992.4255,161,156.399068
-992.6482,206,156.615703
-990.9839,70,157.479459
-975.4573,108,157.568656
-978.3526,105,158.032813
-989.6755,77,158.186064
96.664566,185,158.786842
-987.7865,78,158.8854
86.171906,193,159.486736
