#{"t_start": 1787420832.5397766, "env_id": "None"}
r,l,t
-980.0461,98,40.167524
-979.2589,99,40.393859
-974.2961,113,43.049617
-973.00433,114,43.183254
-973.09845,119,43.802552
-968.8379,129,45.619104
-961.5702,152,50.73678
-990.3429,78,56.248558
95.973595,185,58.390141
-991.79565,68,58.797474
-978.46155,101,61.683956
-990.886,70,65.858612
-975.3733,109,68.801874
-993.40936,64,69.253884
-993.3927,64,71.249398
-992.11414,68,75.361955
-984.58026,89,77.045622
99.08883,182,81.431559
-983.24994,99,86.619223
-985.3061,86,87.178054
-983.52704,211,87.427648
-997.88196,135,98.669934
-978.6344,109,102.944489
-995.0908,129,103.182392
-995.8893,142,104.060878
-973.9883,174,104.530915
-986.8162,120,110.580381
-988.6841,136,113.133556
-981.295,148,116.143376
-992.15955,145,126.964327
-1000.09515,129,128.00783
-994.0803,144,130.790263
-1000.6412,147,132.449751
-999.59125,119,133.674788
-1007.7118,164,136.884706
-1006.9162,160,144.12306
-1015.8331,152,145.810537
-999.5761,112,154.33168
-993.20593,150,156.416052
-994.9205,129,158.952513
-1015.77814,165,160.313163
-995.0668,90,161.649557
-1005.6912,140,163.915231
-1003.2429,170,164.05659
-988.4289,109,167.219193
-990.26776,101,179.528501
-991.4627,150,183.765505
-995.8837,145,184.670079
-991.57935,106,184.670079
-1013.66205,163,190.7021
-1004.03503,156,191.722282
-1019.57434,157,193.599217
-1014.1921,161,197.556756
-996.3937,92,201.011187
-1002.792,96,203.004195
-997.0037,146,207.283626
-980.3868,131,209.373438
-999.5633,146,220.25336
-1011.8112,156,220.538806
-964.826,161,224.763503
-988.47565,147,225.83815
-985.4265,122,230.735255
-979.8078,160,231.675863
-972.2368,175,236.163179
-994.4186,101,239.32001
-1008.8261,157,239.32001
-1001.0225,126,243.430669
-988.37115,152,253.9942
-999.0402,161,256.339026
-994.107,151,259.398533
-997.1698,147,259.398533
-1002.4171,124,262.998141
-978.99524,130,264.260692
-1003.99384,152,265.253577
-985.78986,153,273.928659
-986.0764,133,280.322709
-1001.4532,126,281.743918
-1004.42065,149,289.340197
-1010.967,152,289.803923
-990.1128,135,290.834022
-969.836,151,293.017867
-993.7747,151,295.461078
-995.7099,119,297.042698
-995.5736,105,301.688641
-1013.5869,151,309.680754
-979.93304,128,314.720016
-996.83344,132,317.266391
-993.4778,134,320.064711
-985.13513,158,321.013831
-988.09247,143,326.938789
105.740135,183,334.090253
104.118,187,342.021482
-995.28656,124,343.663424
-973.91876,153,347.796239
-992.8329,136,348.801834
-992.868,184,348.801834
-987.02606,142,350.704806
-995.27386,137,355.01459
-987.0241,145,370.515469
-1003.3512,125,373.225207
-993.92224,133,374.81808
-985.90137,163,376.060009
-985.8659,141,378.715411
112.09034,238,380.403746
-983.91833,171,387.647476
-973.39386,230,392.828688
-981.25494,119,393.657762
-1002.5628,146,401.223092
-982.1075,137,402.268588
-970.78766,163,405.850052
-967.8238,169,411.85339
-989.1639,147,415.434277
112.09721,204,416.888431
106.2361,184,427.444566
-970.5218,189,427.657439
-991.01764,154,430.4122
-1004.724,136,431.537519
-980.32404,172,434.161839
-1000.8385,88,444.563937
-988.77155,202,450.163532
-993.053,109,451.769972
108.47149,200,453.033701
-991.0519,104,453.645106
-975.1827,148,458.402007
-988.12573,235,461.812778
-966.013,189,463.876498
-990.5166,134,475.731653
-994.25543,133,476.655463
-988.06866,183,478.815344
-993.34076,127,482.430256
-980.4653,133,488.894468
-973.3417,235,497.90667
105.5555,197,498.699827
-985.1846,239,499.263575
-986.17316,131,501.864347
-996.81885,189,512.312779
-1005.726,155,518.370875
99.26829,192,519.200355
-958.0042,236,525.466004
