#{"t_start": 1787242014.4710498, "env_id": "None"}
r,l,t
-990.1582,72,3.979414
-981.21814,94,5.513598
-980.9282,96,5.631748
-978.21826,102,6.04609
-972.34143,132,8.234462
103.004135,185,11.746525
-979.09235,211,13.386094
-966.861,216,13.627115
-964.0353,139,14.580351
103.99718,186,16.163364
-991.7762,177,17.597193
101.800255,183,17.597193
-979.2097,99,17.879206
-985.14233,85,18.575081
101.92616,189,19.887659
-983.30194,93,20.174365
-981.6207,95,21.901719
-982.1651,93,23.33788
-980.03033,97,24.349653
-983.16394,212,26.351646
-979.19934,99,27.87605
92.24503,191,29.15915
-966.94006,218,30.69805
-969.1637,123,30.905943
101.46404,188,31.748974
-972.39,195,31.866263
-989.7627,130,32.24422
-979.9526,100,35.461319
-981.90466,167,36.894033
-978.4183,101,38.26459
100.78892,184,39.301275
-988.4755,76,40.154049
-966.9056,133,54.72572
-984.49567,87,62.223122
-990.58795,205,66.328607
-959.5611,220,67.94088
-977.71,204,68.09348
-974.2822,116,70.017924
-980.01575,98,70.162261
-983.5154,90,70.45282
-976.0191,121,84.679759
-974.3146,190,85.752283
-971.57245,188,88.867356
-970.7547,168,89.237226
-965.0287,138,89.399296
-965.5761,165,92.647484
-977.2492,175,94.146868
-970.87555,214,97.191622
-991.6065,68,98.388074
-991.71405,68,101.633229
-981.9994,93,101.754102
-965.7965,143,103.712496
-984.6368,163,110.701929
96.33015,199,112.201564
-981.9561,97,114.727091
-990.34204,171,116.892709
-976.89764,148,118.116852
-983.37146,89,122.607455
-975.47864,160,123.135045
104.04814,199,123.78467
-987.01135,83,126.004508
-968.19244,188,128.954297
-984.54254,148,131.936412
-990.51556,154,137.387336
-976.5932,110,137.68078
-988.1454,108,138.054648
-993.3437,160,143.854042
-971.829,205,145.504344
-974.2271,126,145.663134
-977.06915,110,146.631025
-992.26514,69,147.23182
-974.1637,182,149.799997
-978.01776,106,151.036554
-986.2787,115,152.231094
-987.3355,80,156.087508
-988.1465,107,156.188989
-980.34143,97,159.916183
-993.9812,141,160.755744
-993.77167,63,162.342899
-994.9801,169,163.39736
-981.8354,167,163.960141
-977.7411,133,165.251066
-995.0447,159,166.580464
-989.30206,75,167.525567
-988.4119,83,169.718466
-989.6496,75,170.528145
-981.4562,94,171.580332
-991.1462,186,172.834636
-987.5833,81,173.329534
-995.5503,162,173.960152
-988.57336,120,177.16922
-988.3439,110,178.268579
-990.9745,99,179.209895
-997.0055,119,179.73682
-987.2813,187,180.284572
-987.82214,116,181.800877
-981.2016,132,183.557073
-975.34576,162,186.523561
-993.5872,64,186.831252
-986.3705,128,187.160921
-987.66656,136,188.932052
-984.25604,130,189.381672
-1000.84796,162,192.442772
-987.95593,167,193.377059
-988.8869,136,194.155707
-987.8096,115,195.881228
-983.75757,134,197.051256
-987.94653,126,198.836535
-1004.62396,162,199.944792
-990.14154,96,201.123099
-993.0524,154,201.691076
-986.07605,137,203.493392
-984.6338,147,206.247803
-996.0927,159,209.176009
