#{"t_start": 1784900531.0709574, "env_id": "None"}
r,l,t
-986.3271,140,41.018871
96.45445,178,45.073048
96.04836,181,45.402825
83.67558,193,46.542206
71.795845,217,48.666308
41.310318,225,49.422727
36.495724,233,50.194925
65.49649,249,51.441941
-991.41003,136,57.953872
72.55291,208,61.308545
-996.8826,185,62.913296
-997.11334,142,63.327911
92.466385,185,68.934016
68.90427,239,70.374826
45.73924,220,70.968471
68.37485,224,74.774836
-987.8776,137,78.025197
82.402466,212,80.553251
86.38079,234,86.042419
-988.13934,164,87.431816
60.66521,241,88.240232
-996.1336,134,88.551935
75.04549,202,91.844347
81.60823,223,92.031715
99.981674,206,101.640279
36.37062,262,104.950927
-988.4472,166,105.323164
86.76552,197,107.685103
50.66513,225,111.696065
89.58266,209,113.433854
28.69323,294,115.952557
62.342392,242,116.480094
84.95796,218,123.219186
85.29376,209,125.105484
77.76381,206,125.202557
96.0385,205,127.107489
50.282322,261,135.528889
64.325035,217,135.528889
57.785637,247,135.868994
84.25586,232,137.194268
99.19326,171,138.207479
97.21241,171,140.171988
68.0623,243,146.345349
63.09018,249,149.12579
91.919266,188,152.189101
-991.0437,137,152.507951
98.84843,194,154.545514
81.99794,220,155.391541
73.911095,233,156.271067
97.59615,211,157.104819
-990.73364,130,164.643376
89.16109,212,166.520248
98.38187,204,168.39903
84.15903,215,172.852591
88.47019,207,175.136925
41.6515,239,177.158781
66.43809,223,177.458817
54.57571,230,178.902088
98.39088,160,179.495129
-988.1735,177,183.128991
85.8176,190,186.501476
-993.842,119,189.12742
92.41635,173,194.548813
-988.76807,140,197.326319
63.455864,231,198.158094
78.1457,205,200.313218
48.991333,279,200.516911
50.186966,231,202.310504
-1008.5986,115,209.157058
69.640686,223,209.382443
51.889786,254,215.034378
-993.05347,150,215.437246
85.64542,227,217.316254
92.26588,194,217.597925
-1001.3702,98,218.631525
101.17074,166,218.81582
84.81082,195,219.864532
-992.0166,130,231.14067
72.72999,237,231.955152
102.20767,185,232.840241
91.29581,201,233.962202
81.823166,212,237.319178
91.74215,205,237.95332
86.747025,193,238.049121
64.84326,230,239.274192
67.141685,198,250.13013
99.41981,164,253.487142
86.21054,224,253.768546
63.107136,222,254.616246
65.55346,223,255.876735
93.076355,201,257.767045
72.41681,212,258.726281
59.28756,266,264.930356
-988.20715,137,267.231292
-991.98083,135,268.161453
97.752365,164,268.631939
96.78998,216,270.692004
83.47754,228,275.127119
91.59279,201,276.571537
80.77671,241,281.30021
99.08129,170,283.439462
-1022.29944,101,286.155482
79.99392,233,287.06946
-980.45276,142,288.791798
85.73482,221,290.134119
87.712166,230,292.857001
35.394608,265,293.795499
38.885883,243,305.10015
-994.09485,141,306.768148
87.24503,213,307.231922
76.3673,206,307.418065
66.49386,277,310.95672
88.66531,227,312.779109
45.063156,274,316.336188
56.240353,265,320.194282
-978.222,130,320.281859
-1002.7773,134,320.86035
93.326096,221,326.694293
-992.8726,155,327.282829
96.92906,175,327.547775
61.317898,258,547.423391
-1011.9678,153,550.778844
101.12486,188,555.483547
48.452686,240,555.93444
68.390465,265,564.678971
-981.8156,150,565.555907
67.87259,226,567.972692
74.173225,237,569.854028
