#{"t_start": 1776173585.0064635, "env_id": "None"}
r,l,t
-1569.9714,93,5.021865
-2080.1245,145,6.631405
-1908.4756,193,8.144524
-1535.2833,145,9.53156
-2396.0784,245,9.716515
-734.7032,256,10.084566
-2341.3057,279,10.788602
-2754.7812,294,11.341708
-1997.8038,70,12.010991
-2806.7847,331,12.504936
-3559.7314,233,13.972889
-1772.1804,128,14.890395
-2968.0342,270,16.660497
-2201.7278,212,16.79038
-1717.3018,154,16.813005
-2419.9275,273,17.929794
-2440.437,249,18.679987
-2940.9585,312,21.063517
-2790.9797,270,21.990684
-699.84784,267,23.742785
-3003.255,369,24.014624
-2611.816,319,24.887677
-895.39545,321,25.050006
-2573.2852,302,25.575133
-1570.8672,185,26.033002
-787.5658,304,26.481054
-1746.1975,141,28.978859
-2624.268,203,29.539288
-2520.8303,340,31.419369
-2322.1094,305,32.110788
-2793.0781,261,32.168791
-2172.3633,292,33.922989
-1900.6603,285,34.667868
-2399.0547,244,35.98295
-3084.8225,360,36.422786
-1973.8933,259,37.157409
-1994.6736,134,38.214687
-2225.491,115,40.147062
-2600.56,280,40.448954
-2244.4631,276,41.211214
-3838.2964,346,44.164908
-507.94913,282,45.314936
-1663.3083,150,47.900387
-2246.9075,319,49.927684
-2386.6055,324,52.563888
-3288.011,358,52.73864
-1304.161,276,52.991925
-894.23883,293,53.341669
-2382.8613,238,55.31765
-1615.2837,208,57.452785
-2723.455,278,58.118196
-1723.9249,154,59.420772
-2335.929,234,59.903212
-2011.1392,56,62.043
-2903.1577,244,62.517208
-2800.5928,242,63.009794
-2959.996,357,66.824018
-2764.434,303,67.144544
-2458.3525,267,68.070744
-2263.8975,239,68.36858
-2680.2773,319,69.355107
-2526.0464,277,72.87172
-2982.5156,299,73.16336
-1591.1794,130,74.085496
-2420.6926,325,74.979725
-2259.044,271,76.516244
-1991.3419,85,77.136028
-2165.048,288,77.419415
-2656.398,335,80.060326
-2813.1116,362,80.65097
-2780.174,231,82.356298
-2251.0112,296,82.676203
-3339.0728,361,84.26193
-3299.0671,276,85.519709
-3212.884,304,86.138784
-2816.48,339,86.684174
-2621.8613,250,88.039743
-2314.9019,293,88.779116
-513.32825,268,90.469365
-1385.5785,329,91.715578
-2815.823,218,91.789321
-2177.8535,279,92.157821
-2676.9292,215,92.157821
-2343.434,261,95.098805
-2533.8442,292,95.267249
-2241.7551,154,95.267249
-3257.8113,384,96.478928
-1675.9473,191,96.589723
-490.66245,276,96.952807
-1718.28,244,97.385259
-1537.4058,108,97.721146
-1723.0391,52,98.121572
-2592.1907,277,98.488598
-1613.0555,122,99.283345
-2260.2246,273,101.510947
-2361.7095,322,102.573168
-2329.9,248,103.282002
-2520.666,324,104.121002
-2541.6934,257,104.293352
-2345.6912,206,104.339445
-438.24448,266,104.910248
-2428.5002,307,105.076019
-3004.524,259,108.206357
-2566.8413,256,109.250328
-1760.0042,51,109.571564
-1525.3635,259,110.725607
-845.80664,270,111.918421
-2429.8916,303,111.961033
-2343.2612,289,112.174643
-3276.744,403,113.21277
-3015.3818,375,113.500421
-1696.251,81,115.040994
-1878.8992,290,115.779461
-2428.445,284,115.931406
-2803.1182,303,117.567871
-480.43768,265,117.91109
-3071.2856,329,119.657866
-2831.0073,374,120.545102
-2395.293,345,121.580721
-2401.0583,254,121.888559
-1771.1348,256,122.083289
-1911.8684,207,122.596613
-2358.0405,331,122.876476
-2158.9636,295,124.890084
-3139.4248,288,126.377805
-824.1247,302,127.497517
-1657.6208,116,127.547305
-2076.5962,234,128.137105
-2222.9675,271,128.221934
-2931.2253,317,129.111913
-2573.9775,311,129.673007
-3395.836,388,130.458789
-1539.8643,161,131.222809
-1941.4949,136,131.408006
-1814.613,84,131.589086
-2294.4443,329,133.748418
-2572.2788,253,133.748418
-1000.0,1,133.767545
-2487.85,330,134.6917
-1877.0538,211,134.858797
-1703.8164,80,135.388871
-1846.9265,203,135.422996
-769.9445,316,135.838753
-2843.6643,237,136.261487
-1840.4373,87,136.523433
-2216.5332,264,137.02615
-2776.06,222,139.741274
-2533.8752,289,139.975963
-1802.5178,214,140.11014
-1872.4546,224,141.553582
-2437.6265,267,141.780428
-2258.7432,311,142.203161
-2365.1575,235,142.282982
-2303.1306,323,143.360276
-1558.8678,143,144.483016
-2148.9353,267,145.351686
-2356.4111,318,146.616005
-2208.5063,221,146.70159
-2819.0027,334,147.100633
-1903.1958,303,148.068626
-2822.5837,335,149.323223
-2293.3232,342,150.671021
-1000.0,1,150.694842
-2439.364,267,151.220176
-1680.5945,231,151.891086
-2478.6826,345,152.016003
-1000.0,1,152.038516
-1616.7853,150,152.675015
-2887.0098,308,153.422873
-1876.9114,96,153.930318
-2402.7537,314,154.034023
-1000.0,1,154.05479
-2481.5972,289,154.426266
-1782.7264,221,155.425151
-2416.5278,263,157.423654
-2646.0112,332,158.111043
-2213.4834,243,158.384739
-1951.4877,243,159.393842
-3525.462,351,159.894932
-2154.7856,299,160.167283
-1598.0046,97,160.472981
-2853.976,340,160.955134
-2283.794,313,161.897604
-2593.271,272,163.161489
-2659.8623,337,165.211541
-2382.8757,257,165.802719
-3087.1096,290,165.951081
-2334.4216,316,165.971818
-2456.216,295,166.991819
-1624.3181,193,167.059862
-2604.565,295,167.815275
-3909.913,378,167.871504
-799.8022,284,178.839969
-2937.8696,251,178.941434
-740.2432,301,179.845482
-3041.3262,272,180.536179
-3302.2827,365,181.463986
-2181.5132,57,181.795748
-1450.071,289,181.893371
-2523.1812,342,182.177685
-2440.6963,349,183.336206
-1706.0986,205,183.362799
-1615.3846,150,184.701797
-2375.895,282,186.055956
-2945.5876,339,186.375209
-1667.6996,148,186.597625
-2226.8723,268,187.765538
-794.38873,297,188.244216
-2301.8008,236,188.384007
-2496.331,303,188.693012
-3038.7974,248,191.542886
-1012.7677,323,191.906895
-2203.3877,272,192.572058
-2916.2012,349,193.970882
-2173.1,290,194.102982
-2389.8535,326,195.417956
-2977.4297,339,195.853305
-3334.7622,336,196.150112
-1795.1638,224,196.345681
-1790.5358,208,198.58462
-590.1092,317,198.647938
-2229.1729,307,199.135382
-2772.0596,314,200.858089
-2244.2305,225,201.277957
-2513.5403,262,201.6231
-2480.9287,353,203.946421
-3336.3206,386,203.946421
-2130.36,261,204.528643
-2192.237,276,204.818516
-2959.401,253,204.862767
-2751.2305,212,206.089738
-1534.2327,145,207.316118
-1791.2924,82,208.006001
-3226.852,327,208.307567
-2470.876,311,208.67647
-2817.5999,236,209.311421
-2346.8838,245,210.404665
-2417.2212,308,211.659999
-1783.8323,215,212.37301
-2379.2622,337,212.749419
-1963.4307,145,212.885252
-1655.5967,144,214.018014
